機構名稱,機構代碼,執行長,聯絡人,電話,傳真,網址,電子郵件,地址,創辦人,成立日期,許可機關,機構屬性,成立主旨,工作重點,服務區域,服務性別,服務年齡,服務項目
社團法人高雄市樂馨社會福利關懷協會,7284,王鏗荏,陳宥心,0979161947,無,無,lehsin0801@gmail.com,807高雄市三民區孝順街392號,王鏗荏,2016/08/01,高雄市政府社會局,老人福利,以提高長期照顧服務品質，協助政府推動服務工作 並辦理長期照顧服務及社會福利事業為宗旨,1.居家服務2.居家喘息3.其它相關長照業務,高雄市,不限,不限(0~0),"個案管理, 喘息服務, 社區服務"
台灣大心社會福利協會,7283,姚卿騰,公關處,02-2718-7025,02-2500-0685,www.7025gh.org.tw,7025gh@gmail.com,104台北市中山區撫順街33號5樓之1,陳力瑀,2015/06/13,內政部,綜合性服務,每天，在台灣各個角落裡，都有著許多遭受疏忽照顧、家庭暴力、性侵害的事件不斷地發生；另外，也有許多生活在弱勢處境的家庭及孩子們，這些傷害、痛苦的遭遇，「大心」看見了！「大心」行動了！ 「大心」，在台語中有貼心的意思，台灣大心社會福利協會的創立，正是希望帶著我們的關愛與熱情，體貼居住在台灣這塊土地上的人們、關注弱勢的族群，並運用我們的專業來提升人們的公共福祉與利益。台灣大心在這幾年來持續關懷的行動中，藉由社會工作專業並結合各種社會資源，積極的協助性侵害案件的倖存者、目睹家庭暴力的兒童及少年、高風險家庭、低收入、中低收入戶家庭，讓他們可以在充滿「溫暖包容」、「接納同理」、「體貼關懷」及「安心」的環境中逐漸穩定、復原，找到繼續向前努力的力量。因此，我們期待，專業服務的背後是社會大眾對台灣大心認同的支持，能讓每一位服務使用者的需要被看見、被真誠照顧，陪伴他們蛻變與成長。～讓「愛」，繼續擴散！期待您與台灣大心一起向前行～,社團法人台灣大心社會福利協會創立，是希望透過關懷及熱情，來幫助需要被幫助的兒少及家庭，故本會承接多項服務方案，積極協助性侵害案件的受害者、目睹家庭暴力的兒童及少年、高風險家庭、低收、中低收戶家庭，藉由社會工作專業並結合各種社會資源，讓他們可以在充滿「溫暖包容」、「接納同理」、「體貼關懷」及「安心」的環境中逐漸穩定、復原，找到繼續向前努力的力量。 服務方案請參閱官網資訊: https://www.7025gh.org.tw/,"新北市,桃園市,新竹市,新竹縣,台中市,全國性",不限,不限(0~0),"心理輔導,個案輔導,個案管理,團體輔導,親職教育,兒童托育,日間照顧,社區服務,社福資訊,權益倡導"
臺中市神岡區溪洲社區發展協會,7282,胡正義,楊一新,04-25613421,04-25620266,無,shijou.taichung@gmail.com,,王明洲,1992/12/24,臺中市政府社會局,老人福利,活躍老化‧終身學習‧快樂銀髮,社區福利、老人福利、關懷據點、樂齡中心,台中市,不限,不限(45~100),"關懷專線, 社福資訊, 其他"
財團法人台南市私立荷園社會福利慈善事業基金會附設弘能家園,7281,葉世賢,陳怡馨,06-7862290,06-7860151,http://www.hvtainan.org.tw/,great7862290@gmail.com,727台南市北門區文山里二重港257之8號,莊建忠,2015/07/20,台南市政府,身心障礙福利,以家為出發點，用「愛心、耐心、用心的態度，持續的成長與創新」，建立身心障礙者幸福溫馨的第二個家。 提供身心障礙者專業的照顧服務，加強生活自理及社會適應能力，建立自我價值觀念與自信心，期許能回歸社區生活。家園服務對象,精神障礙、智能障礙18~65歲，中度以上，全日型住宿型照顧機構,"台南市,全國性",不限,不限(0~0),"個案輔導,個案管理,收容收養,緊急庇護,居家護理,輔助器具,職能評估"
財團法人鞋類暨運動休閒科技研發中心麥子庇護工場,7280,侯滿芳,黃美珍,0423590112-154,0423593326,http://shoeswonderland.bestmotion.com/aboutus.php?au_cate=sheltered&au_id=12,0848@bestmotion.com,,劉虣虣,2013/09/12,臺中市政府,綜合性服務,麥子庇護工場是由財團法人鞋類暨運動休閒科技研發中心於一百零一年成立，透過鞋寶觀光工廠的工作訓練場所，提供身心障礙者實際的工作場域，以身心障礙者自立生活為首要服務目標，並於102年9月12日經臺中市政府勞工局立案通過（立案字號,庇護就業訓練,台中市,不限,不限(0~0),庇護工廠
汐止就業服務站,7279,許站長麗芬,李盈盈,(02)8692-39611,(02)8692-405,無,AM8132@ntpc.gov.tw,221新北市汐止區新台五路一段268號1F  ,許站長麗芬,2017/11/23,00000000000000000000,政府單位,就業服務,1.協助就業服務民眾取號2.電話通知參加徵才活動3.其他志工服務項目,新竹市,不限,不限(0~0),"就業資訊, 就業輔導"
衛生福利部苗栗醫院,7278,徐慧琪,廖雅梅,0372619201146,037263920,https://www.mil.mohw.gov.tw/Introduce/history.asp,81178@mil.mohw.gov.tw,,許振榮,1974/08/28,衛生福利部,老人福利,成為苗栗縣民一輩子的醫院,1、身體照顧服務—協助沐浴、翻身、拍背、進食、協助上下床等。2、家事服務—協助膳食準備、代購日常用品、環境清潔、洗滌衣物等。3、醫療服務—陪同就醫、提醒服藥等。4、精神休閒服務—陪同散步、運動閱讀、情緒支持等。5、文書服務—代寫書信、申請福利、繳交各項費用、聯絡親友等。6、其它服務。,苗栗縣,不限,不限(0~0),"日間照顧, 安寧照顧, 喘息服務, 送餐服務, 自殺防治, 戒毒戒癮, 急難救助, 復健服務, 物理治療, 職能治療, 社工實習, 志願服務, 醫療諮詢, 營養諮詢, 社區服務, 社教宣導"
社團法人高雄市企業管理交流協會,7277,曹芷綸,曹芷綸,07-3229964,07-2134434,無,kbea.org@gmail.com,,曹芷綸,2009/12/02,高雄市政府社會局,綜合性服務,以延續培養及規劃訓練國內外企業管理專業人才，促成彼此互助合作與資源整合，共同提昇企業競爭力，促進國際人才交流，增進國際競爭力及所有一切企業及社會福祉相關教育訓練與服務為宗旨，特成立本會。,一、國內外企業管理、策略管理、專案管理學習研討及人才交流訓練、活動及其相關事項。二、推動會員聯誼、教育、文化、學術等訓練、活動及其相關事項。 三、促進企業相互交流，增進企業管理能力與合作機會等訓練、活動及其相關事項。 四、舉辦有關企業管理各種座談、專題演講、研討會等訓練、活動及其相關事項。 五、會員、企業或社會福祉等公益事業教育訓練、活動及其相關事項。,全國性,不限,不限(0~0),"休閒娛樂, 聯誼活動, 生涯規劃, 職能評估, 職業訓練, 職訓補助, 就業資訊, 就業輔導, 教學研究, 聯合勸募, 法律諮詢, 社區服務, 專業訓練, 社福資訊, 國際交流"
新竹市東區立功社區發展協會,7276,陳樹林,陳秋羽,035712130,035751427,無,emilys4967@hotmail.com,,陳永璿,2006/02/26,新竹市政府,綜合性服務,本協會成立至今已逐步發展出社區環保義工隊、社區巡守隊、弱勢家庭學童課輔、社區照顧關懷據點及旗艦聯合社區計劃-推動福利社區化，其中社區照顧關懷據點是用以在高齡化社會中盡一份心力、來關懷照顧社區中獨居及較弱勢的老人，透過問安訪視的關心並了解老人家們的需求，使他們感受到人與人之間的溫暖(情)。,社區照顧關懷據點長照2.0-C級巷弄長照站老人營養送餐服務臨托服務,新竹市,不限,不限(0~0),"日間照顧, 暫托服務, 喘息服務, 送餐服務, 自殺防治, 急難救助, 生活扶助, 志願服務, 社區服務, 社教宣導"
社團法人台灣無毒世界協會,7275,吳玉珍,吳貞儀,077226222,077220022,https://zh-tw.facebook.com/drugfree.tw/,info@drugfreeworld.org.tw,806高雄市前鎮區光華二路48號2樓,吳玉珍,2015/10/14,台內團字,綜合性服務,吳玉珍醫師自民國94年於大寮監獄擔任教誨師多年，深切感受毒品乃是造成社會犯罪最主要成因，故毅然決然地投入毒品防教育工作。秉持著醫者精神-「預防勝於治療」，結合志工們走訪各界尋找可深入社會各個階層的優質教材及有效的反毒宣導運動。於民國104年10月4日正式成立社團法人台灣無毒世界協會，希望透過毒品預防性教育，降低毒品需求，達成杜絕毒品之目標。,1.【反毒陽光列車專案】培訓協會反毒教育團隊，如同列車一般至各縣市 校園、社區巡迴演講，使青少年對毒品有正確知識。使毒品教育如同陽光般照亮校園及社會的每一個陰暗處，藉由毒品知識的力量，向毒品說不！2.【反毒講師培訓班專案】結合專家學者共同研擬反毒講師培訓課程，建構全新、專業、淺顯易懂教案與教具，標準化SOP流程，讓一竅不通的人，也能躍上台前傳授毒品的真相，提供不說教不恐嚇的反毒教育，幫助全民遠離毒害、改善社會風氣。3.【大型反毒活動專案】因應台灣的毒品亂象，給予適當的解決方案。如編纂、印製、發行國內嚴重新興毒品知識手冊；針對高濫用地區和活動如墾丁音樂季、貢寮海洋音樂祭等活動舉行反毒宣導活動。4.【反毒服務學習體驗營】透過毒品知識教育及安排特殊體驗，讓學員能確實學習到有關毒品的相關知識，藉由實地進行反毒宣導而內化毒品知識融入生活中。5.【學術交流暨研討專案】參與國際研討會議，結合其他專業學術單位，於全國北、中、南辦理及研討有效的毒品危害防制方案。,全國性,不限,不限(0~0),"團體輔導, 營隊活動, 其他"
台灣社會企業永續發展協會,7274,許恩得,李宥儒,04-2359012130022,04-23597645,http://www.asset.org.tw/index.php,kesg617g@thu.edu.tw,,許恩得,2016/10/01,內政部,綜合性服務,在整合學術、企業與社會各界之力量，協助年輕人就業，並培育關懷社會、具國際觀與經營能力之企業家，使其善盡促進社會永續發展之責任。,一、舉辦各類社會企業創新創業管理研討會。二、推廣或落實與本會宗旨相關之政府政策、計畫或活動。三、針對研究社會企業創新或推廣社會企業活動提供補助。四、舉辦或補助社會企業相關之教育與訓練活動。五、出版或發行社會企業相關之期刊或書籍。六、其他與本會宗旨相關之活動。,全國性,不限,不限(0~0),"生涯規劃, 職業訓練, 職訓補助, 就業資訊, 就業輔導, 其他"
社團法人高雄市濟興護老慈善會,7273,許慶章 理事長,林恒卉 幹事 ,07-7262696,07-7263689,無,7262696@gmail.com,804高雄市鼓山區延平街87之13號3樓,曾燈友,1991/12/01,高雄市政府社會局,老人福利,本會為公益團體.非以營利為目的.以發揚人性的光輝.人類互助之精神秉持濟貧救困造福人群.興國齊家服務社會之理念.導引人類向善促進社會和諧為宗旨,1.以照護失依老人與推展老人福利服務為主2.其他社會慈善公益相關工作3.接受政府委託辦理各項社會福利事項等,高雄市,不限,不限(0~0),"急難救助, 聯合勸募, 社區服務, 社福資訊"
政治大學 創新與創造力研究中心-鹿樂平臺,7272,劉吉軒教授,吳永蘭,02-2939-309165763,02-8661-8498,http://www.ruro.tw/,fund.ruraledutw@gmail.com,116台北市文山區指南路2段64號逸仙樓7樓706室,劉吉軒教授,2013/12/19,教育部,教育與科學,鹿樂，一個專為偏鄉教育而創的群眾協力募集平臺。我們的目標，是作為偏鄉小校與社會群眾的中介，透過網路讓教育需求的資訊被看見；我們的任務，是替偏鄉小校募集所需之人事物，同時為想出力的人找到真正需要的角落。歡迎需要幫助及想要出力的你，與我們聯絡！我們期許透過鹿樂，偏鄉不遠。,近年來，偏鄉教育議題浮上檯面，常見小校與老師滿腹理想、兼具創意與行動力，卻得孤軍奮戰、默默耕耘；也發現許多民眾與企業懷著熱情和資源，卻找不到對象付出、不知如何行動。 我們不禁想問，雙方搭橋溝通的可能性在哪裡？於是2015年，政治大學創新與創造力研究中心在教育部的支援下， 成立鹿樂平臺。 鹿樂透過實地走訪，將記錄下來的故事作為一封封邀請函；再藉由網路傳播，協助偏鄉小校募集到所需的人事物，想出力的人也能實踐對教育的熱忱。而偏鄉也不意味著匱乏，當地以豐富的自然生態和人文資產，款待到來的人們。於是， 我們共創一個又一個美好的故事。 我們期許，繼續透過鹿樂，讓偏鄉不遠。 ,全國性,不限,不限(0~0),"團體輔導,課後照顧,志願服務,社區服務"
高雄市南境港口聖慈慈善會,7271,陳世雄,陳世雄,073632011,0,https://www.facebook.com/KSPSC/,bear7757@gmail.com,,陳世雄,2017/02/26,高雄市政府社會局,綜合性服務,乃行慈悲喜捨、無緣大慈、同體大悲、急難救助、慈善教育，匡扶端正人心，淨化社會。,輔助大高雄地區貧困、弱勢、單親、之個人及團體,"台南市, 高雄市, 屏東縣",不限,不限(0~0),"個案輔導, 個案管理, 聯誼活動, 急難救助, 生活扶助, 喪葬補助, 物理治療, 就業資訊, 社區服務"
社團法人桃園市唐氏症家長協會,7270,楊敏華,楊敏華,033015798,033015798,無,ymhmmy@yahoo.com.tw,,楊敏華,2017/05/20,桃園市政府,身心障礙福利,以維護唐氏症者權益，並辦理各項福利措施，扶助其自力更生為宗旨。,建立桃園市唐氏症者服務資訊網，協助唐氏症者家庭，給予各項支持。成立唐寶寶學習中心,桃園市,不限,不限(0~0),"個案輔導, 個案管理, 親職教育, 早期療育, 休閒娛樂, 聯誼活動, 職業訓練, 就業輔導, 社福資訊"
宜蘭縣私立豐閤老人長期照顧中心(養護型),7269,施鎮洲,施鎮洲,03-9281-285,03-9281-286,無,feng.he9281285@gmail.com,260宜蘭縣宜蘭市大坡路一段37號,施鎮洲,2017/02/20,宜蘭縣政府,老人福利,"【豐閤養護院】,是為了秉持精緻化照護所成立的小型長期照護中心.我們的經營理念為:「奉養如親,愛惜如子」藉由五心服務—愛心、耐心、同理心、反省心、創新的心,提供長者安全舒適的照顧環境,並使家屬得以安心!",服務失能老人，提供收容養護服務,宜蘭縣,不限,不限(0~0),"收容收養, 喘息服務"
社團法人高雄市新恩社會福利關懷協會,7268,蔡小姐,吳先生,07-7828110,07-7828119,無,original.grace2017@gmail.com,831高雄市大寮區鳳林三路103號2樓,吳文國,2017/10/15,高雄市政府社會局,綜合性服務,以社會公平正義為準則，推展社會福利，並積極參與政府推動之長期照顧服務工作及各項社會福利政策，深耕社區照顧、提昇愛鄰互助意識，以達安和樂利社會為宗旨。,老人&身心障礙者照顧服務,高雄市,不限,不限(0~0),"個案管理, 日間照顧, 在宅服務, 暫托服務, 關懷專線, 喘息服務, 送餐服務, 休閒娛樂, 急難救助, 社工實習, 志願服務, 社區服務, 社福資訊"
社團法人桃園市龜山區傳愛社區關懷協會,7267,無,楊庭瑄,03-3285586,無,https://www.facebook.com/LoveDelivery.communitylifecareassociation/,thscoffee82731@gmail.com,333桃園市龜山區文化七路36號,李紫陽,2013/04/01,桃園縣政府,綜合性服務,以傳揚基督博愛精神、推動健康家庭、健康社會及全人教育、全人關懷為宗旨。,我們座落於桃園市龜山區，致力服務社區居民。-兒少課後陪伴-生命品格教育-才藝訓練課程-社區婦女查經-樂齡活力站-急難救助關懷,桃園市,不限,不限(0~0),"心理輔導, 兒童托育, 課後照顧, 兒童保護, 暫托服務, 關懷專線, 休閒娛樂, 營隊活動, 家庭輔導, 急難救助, 生活扶助, 獎助學金, 社工實習, 志願服務, 醫療諮詢, 社教宣導, 社福資訊, 權益倡導"
社團法人中華民國五福社會服務協會,7266,賴怡帆,江慧芳,035576556,035578514,無,catalpa2006@hotmail.com,,賴昆賢,2015/10/22,內政部,老人福利,社會服務,居家服務(湖口鄉、新豐鄉、寶山鄉、竹北市)五福湖口鄉日間照顧中心湖口鄉長照2.0社區整合模式A級單位新豐家庭托顧服務照顧服務員培訓及在職相關課程相關家屬紓壓活動居家喘息服務,新竹縣,不限,不限(0~0),"個案管理, 日間照顧, 在宅服務, 喘息服務, 交通接送, 送餐服務, 復健服務, 社工實習, 志願服務, 社區服務, 專業訓練, 社福資訊"
財團法人高雄市毒品防制事務基金會,7265,李宗憲,陳怡婷,07-215175533,07-2152775,http://www.khh-drugprevention.org/m/home.php,kppf7151700@gmail.com,,許立明,2017/07/21,高雄市政府社會局,綜合性服務,本會設立的宗旨為結合民間資源，以公益為目的，從事毒品防制相關社會福利慈善事務，俾協助要癮者復歸家庭及社會，主要辦理事務包括:1.有關施用毒品者輔導處遇、個案管理及建構家庭支持網絡等社會福利相關事務。2.反毒宣導及輔導等相關活動。3.自行或接受政府機關委託辦理毒品防制業務及藥癮者中途之家等相關事務。4.其他符合本會設立宗旨之相關事務。,･反毒及預防宣導工作･一般性預防促進工作･選擇性與預警式預防･輔導與多元性處遇･延續照護與支持協助,高雄市,不限,不限(0~0),"個案輔導, 個案管理, 中途之家, 營隊活動, 戒毒戒癮, 社福資訊, 權益倡導, 政策分析"
臺北市藝文推廣協會,7264,劉美娟,楊濟銨,25215559,25219236,http://www.happyart.com.tw,hot25215559@hotmail.com,,劉美娟,2017/04/23,台北市政府社會局,文化藝術,我們認為藝術不能只是展示在令人高攀不起的商業藝廊之奢侈品，而讓一般大眾卻步，更不能讓藝術作品只堆放在畫室後的倉庫，本協會推廣藝術文化，以一家庭一幅畫的目標讓藝術深入每一家庭，讓民眾的生活貼近美感經驗，進一步提升生活品質，讓藝術與生活融合。,藝術文化推廣,台北市,不限,不限(0~0),"休閒娛樂, 社區服務"
社團法人荷光發展協會 ,7263,陳景州,林賀威林,04-2328-3555,04-2328-6238,無,lw23283555@gmail.com,,陳景州,2017/06/05,內政部,綜合性服務,以創新的精神，透過荷光發展協會之平台，推動各族群公民參與、人才培力、整合社會資源，落實社區關懷。促進社會和諧為宗旨。,一、協助並提供志願服務者各項培訓，開辦成長班及親職教育，減少家庭問題之發生（有關志願服務案，依照「志願服務法」相關規定辦理）。二、協助社區之調查、設計、組織、教育、推動、訓練、觀摩等各項事宜。三、	舉辦社區文教、社會服務、資訊化管理、非營利組織經營管理等相關業務之研習與諮詢活動。四、從事非營利事業產業化與職業訓練相關工作，整合社會資源協助就業。五、辦理社會福利及社會慈善業務。六、其他符合本會宗旨之有關活動。,全國性,不限,不限(0~0),社區服務
臺中市大肚扶輪社,7262,楊明通,賴志明,04-26996205,04-26990909,無,dadurotary@gmail.com,,趙文華,2016/03/18,國際扶輪,綜合性服務,1.社員相互砥礪，共同成長2.提升社友的企業經營能力3.服務及回饋我們共同生活的社區4.培養新生代國際觀,1.社區服務2.國際交流3.企業提升,台中市,不限,不限(0~0),"聯誼活動, 獎助學金, 生涯規劃, 法律諮詢, 社區服務, 專業訓練, 國際交流"
社團法人臺南市ihope愛希望全人關懷協會,7261,莊誼婕,莊誼婕,06-2226444,06-2280935,https://www.facebook.com/taiwanihope,ihopetaiwan@gmail.com,,柯婌文,2016/07/24,臺南市政府,綜合性服務,本會以效法基督愛鄰如己的精神，結合社會大眾的力量，共同濟弱扶貧、 關懷鄰里，服務社區，發展社會福利公益活動，慈善事業、教育事業為宗旨。,一、關懷扶持弱勢家庭連結社會資源協助其問題之解決。二、提供兒童、青少年、婦女、老人及身心障礙者各項福利服務。三、辦理體驗教育及營隊活動，期能建立正確的價值觀。四、 聘請專業技術人員對單親家庭做職業培訓，幫助其投入社會工作。五、銀髮族的關懷與生活照顧，發揮彼此相助之精神。六、辦理社區親職、品格講座及音樂活動等，增加見聞。七、提供社會大眾服務學習機會，體會生命之價值。八、定期舉辦活動，宣導本會宗旨，結合有心服務社區之人士為會員。九、與各級機關團體保持聯繫，共同舉辦各項服務社區之活動。十、籌措經費推動本會會務及公益活動。,台南市,不限,不限(0~0),"個案管理, 團體輔導, 親職教育, 課後照顧, 緊急庇護, 臨時住宿, 休閒娛樂, 營隊活動, 聯誼活動, 婚姻協談, 家庭輔導, 急難救助, 生活扶助, 獎助學金, 志願服務, 聯合勸募, 社區服務, 其他"
財團法人高雄市華仁社會福利慈善事業基金會,7260,高華志,高華志,076932382,076930710,無,hawren6930@gmail.com,829高雄市湖內區長壽路65巷6弄1號,高燕豐,2016/09/06,高雄市政府,綜合性服務,為提供社會福利慈善服務工作，高燕豐小姐遂邀集有相同理念之友人，於民國一0五年九月六日共同捐資成立「財團法人高雄市華仁社會福利慈善事業基金會」（以下簡稱本基金會），期待基金會的成立，以附設開辦相關社會福利服務機構方式，及承辦主管機關委託之相關社會福利服務工作方案，以此嘉惠更多弱勢族群者，並彰顯政府重視社會福利之德政。,財團法人高雄市私華仁社會福利慈善事業基金會（以下簡稱本基金會）秉持人類博愛精神、全人的關懷理念，以優質、專業化的照顧團隊服務模式，擬提供社區輕、中、重度失能者居家照顧服務、日間照顧服務、居家喘息服務，促進本土化長期照顧模式之建立。,"台南市, 高雄市",不限,不限(0~0),"個案管理, 日間照顧, 安寧照顧, 喘息服務, 交通接送, 送餐服務, 復健服務, 社工實習"
社團法人台灣龐貝氏症協會,7259,江思良,褚妍伶,0975-669-695,NA,http://www.pompe.org.tw/,pompe.tw0117@gmail.com,114台北市內湖區新湖2路17號2樓,江思良,2016/01/17,內政部,身心障礙福利,1.提供全國罹患龐貝氏症疾病的家庭，會員訪視關懷與支持服務2.串聯並建構龐貝氏症疾病所需的社會資源網絡3.宣傳與推廣，提升社會大眾對認識龐貝氏症疾病4.持續了解與督促相關單位，針對此疾病有好的照護系統和建立更完善的制度5.參與國際間的相關團體，持續整理與學習全球資訊，提升國內各種的治療與照顧品質，與相關政策的制定,1.訪視關懷與支持性服務-針對全國罹患龐貝氏症疾病的家庭2.串聯與建構-台灣龐貝氏症疾病所需的社會資源網絡3.宣傳與推廣-提升社會大眾對認識龐貝氏症疾病4.持續了解與督促相關單位-針對此疾病建立更好雨更完善的照護系統和制度5.參與國際間的相關團體-持續整理與學習全球資訊，提升國內各種的治療與照顧品質，與相關政策的制定,全國性,不限,不限(0~0),"心理輔導, 個案輔導, 團體輔導, 親職教育, 休閒娛樂, 聯誼活動, 家庭輔導, 醫療諮詢, 社福資訊, 權益倡導, 國際交流"
中華民國槌球協會,7258,謝式穀,林沛君,02-87711443,02-27783082,無,gateballco@gmail.com,104台北市中山區朱崙街20號907室,陳重光,1988/03/30,內政部,老人福利,本會以發展槌球運動，增進國民健康，發揚運動精神為宗旨,辦理全國的槌球推廣活動，及國際槌球交流活動等,全國性,不限,不限(0~0),"休閒娛樂, 國際交流"
清濱醫院,7257,趙文聖,陳文彬,04-26283995118,04-26280486,無,chbi.bing@msa.hinet.net,,趙文聖,2000/06/01,中市衛醫院字,心理衛生,尊重生命，回歸醫療本質，臺中海線地區民眾身心健康的守護者,目標,台中市,不限,不限(0~0),"心理輔導, 個案輔導, 個案管理, 心理治療, 團體輔導, 家族治療, 鑑別診斷, 日間照顧, 居家護理, 自殺防治, 戒毒戒癮, 醫療補助, 復健服務, 職能治療, 職能評估, 職業訓練, 醫療諮詢, 營養諮詢, 社區服務, 社福資訊, 權益倡導"
桃園市溫暖關懷協會,7256,戴淑娟,戴淑娟,03-4512591,03-4512591,https://www.facebook.com/warmcare.association,WARM201610@GMAIL.COM,,戴淑娟,2016/09/26,桃園市政府,身心障礙福利, 推動與辦理有益身心之健康講座、體適能訓練、休閒活動…等，輔導並 建立正確之醫療與衛教常識，讓身心障礙者、中高齡及有健康需求的大 眾等享有精緻及有品質的健康生活,身心障礙者社區日間作業設施 (一)獨立生活能力領域。 (二)基本認知能力領域。 (三)作業技能領域。  (四)社會能力領域。 2        (五)作業態度領域。,桃園市,不限,不限(0~0),"日間照顧, 職業訓練, 就業輔導, 專業訓練"
桃園市歡喜學堂推廣協會,7255,吳忠泰,吳忠泰,033111586,033111586,無,happycorner0805@gmail.com,338桃園市蘆竹區吉林路156巷13號,楊振凰,2016/06/30,桃園市政府,老人福利,促進長者的學習與福利,辦理長者學習與團康辦理失智者家屬關懷活動辦理失智者團體活動,桃園市,不限,不限(0~0),"個案輔導, 喘息服務, 志願服務, 社福資訊"
社團法人台灣身心機能活化運動協會,7254,陳美芳,謝明軒,07-5883527,07-5883527,無,kinou.hcs@gmail.com,,蔡錦墩,2004/10/11,內政部,老人福利,1.本會依法設立、為一非以營利為目的之社會團體，以辦理社會福利服務工作，並基於共同參與及互助合作精神，深入各個機構及社區，以增進健康為目的，透過身心機能活化運動的推動，希望能營造出人人皆能生活自理的健康社會。2.本會並將以身心機能活化運動為核心，推動活動延緩老化之概念及促進心理及身體的健康等活動，為促進全民福祉及健康而努力。3.本會將針對老人照顧相關機構、志工團體、社區發展、學校機關，推動促進高齡者、身心障礙者及一般民眾健康之身心機能活化運動，辦理身心機能活化運動之帶動活動，增加與老人、身心障礙者之互動、充實志工及增加工作人員活動概念。 ,社會局委託辦理之居家服務業務,"全國性, 高雄市",不限,不限(0~0),"日間照顧, 在宅服務, 喘息服務, 輔助器具"
林堉璘宏泰教育基金會,7253,陳彥玲(助理執行長),總機,02-27182358,02-27186977,https://sites.google.com/view/ylledu,edupr@yllhtef.org,,林堉璘,2017/08/17,教育部,綜合性服務,宏泰企業機構創辦人林堉璘，基於「取之於社會，用之於社會」的回饋理念，在2015年，就將名下財產進行公益信託，創立了「公益信託林堉璘宏泰教育文化公益基金」；而為了進一步落實林堉璘創辦人為台灣培育人才的理念，於2017年9月正式成立「林堉璘宏泰教育基金會」，以落實創辦人為台灣培育人才的理念。為了體現林堉璘創辦人「勤奮、誠信、思源」回饋台灣之精神，,「林堉璘宏泰教育基金會」將致力於台灣的教育，為台灣培育人才盡一份心力。基金會目前正在規劃大規模的人才培育計劃，將贊助優秀台灣學子赴國外深造，希望這些受到幫助的青年未來回來服務，把所學貢獻台灣。此外，還將致力於國際人才培育、國際教育交流、台灣未來研究、鼓勵教學及教育創新等等，以實現林堉璘創辦人回饋鄉里、為台灣培養接軌國際人才的心願。此外，基金會還將致力於支持針對台灣未來社會將面臨的問題之研究及解決方法、鼓勵創意創新思考、帶動教育改造等工作。,全球性,不限,不限(0~0),"獎助學金, 教學研究, 國際交流"
台灣德噶禪修協會,7252,吉美喇嘛,台灣德噶 秘書,02-22695749,02-22693898,www.tergar.org.tw,tergartaiwan@gmail.com,236新北市土城區中央路三段87號9樓之1,詠給.明就仁波切,2012/01/08,內政部,教育與科學,一、秉著慈悲、利他的精神，不分種族、宗教及文化的差異，以符合現代社會及思維的方式，推廣、普及禪修到社會的每一角落，幫助現代人轉化煩惱為智慧，獲致心靈的平靜與喜樂，與社會的和諧。二、保存、維護藏傳佛法修持的清淨傳承，結合理論與實修的方式，運用現代科學方法與資訊科技等方式，弘揚佛法的智慧與慈悲，以生活為道用，認識、開展自己本具的清淨智慧與潛能。,運用現代科學方法與資訊科技等方式，弘揚佛法的智慧與慈悲，將禪修融入生活為道用，認識、開展自己本具的清淨智慧與潛能，籍此，人人得以調伏自己內心的怪獸，淨化人心，社會、地球安詳、平靜、和平、無私慈愛一切有情眾生。,全國性,不限,不限(0~0),"特殊教育, 教學研究, 專業訓練"
財團法人新點社會福利慈善事業基金會,7251,劉芳妏,劉芳妏,0227078669,0227078660,無,syntain.foundation@gmail.com,106台北市大安區敦化南路一段294號5樓之八,劉信雄,2016/02/02,衛生福利部,綜合性服務,基金會秉持「回饋社會、關懷人群」之使命，透過舉辦或投入各項社會公益活動，關懷高風險家庭、身心障礙者等弱勢團體，期盼拋磚引玉、聚沙成塔，縮短貧富差距，以裨益社會及國家發展。,-,全國性,不限,不限(0~0),"急難救助,獎助學金,社福資訊"
財團法人基督教中華循理會龍潭教會,7250,蔡良志,蔡良志,034893749,034893749,無,ltfmc4893749@gmail.com,,臧登印,1983/05/01,台灣省政府民政廳,綜合性服務,本法人設立目的為在台灣全省、台北市、高雄市各地設立教會（禮拜堂）傳揚基督聖道，並設聖光神學院訓練基督教義之傳道人才、並謀其健全發展、增進社會福祉推動各項公益慈善事業、關懷國弱勢族群包括國內外貧苦兒童、家庭、單親、提供生活及獎助學金等之協助，並本著基督博愛救世精神，進行國內外人道救援、重大急難之救助，於國內外宣揚福音補助宣教經費及協助設立教會之經費等。,兒少弱勢課後陪讀班,桃園市,不限,不限(0~0),"心理輔導, 團體輔導, 課後照顧, 家庭輔導, 社工實習, 社區服務"
